Location,Profile,Method,Date,Time_UTC,X,Y,Z_NAVD88,DBL
Carolina Beach,CB_01,Topo,20190604,11:49:25,2338770.73,114408.12,9.1,-49.04
Carolina Beach,CB_01,Topo,20190604,11:49:26,2338773.64,114406.94,9.01,-45.93
Carolina Beach,CB_01,Topo,20190604,11:49:26,2338775.98,114405.66,8.9,-43.35
Carolina Beach,CB_01,Topo,20190604,11:49:27,2338779.01,114404.81,8.87,-40.2
Carolina Beach,CB_01,Topo,20190604,11:49:28,2338782.21,114404.06,8.89,-36.92
Carolina Beach,CB_01,Topo,20190604,11:49:28,2338785.08,114403.99,8.94,-34.12
Carolina Beach,CB_01,Topo,20190604,11:49:29,2338788.33,114403.49,9.06,-30.84
Carolina Beach,CB_01,Topo,20190604,11:49:30,2338791.03,114403.41,9.2,-28.2
Carolina Beach,CB_01,Topo,20190604,11:49:30,2338794.09,114403.3,9.52,-25.21
Carolina Beach,CB_01,Topo,20190604,11:49:31,2338797.08,114402.88,10.04,-22.2
Carolina Beach,CB_01,Topo,20190604,11:49:32,2338800.13,114401.93,10.49,-19.01
Carolina Beach,CB_01,Topo,20190604,11:49:33,2338802.71,114400.61,11.41,-16.19
Carolina Beach,CB_01,Topo,20190604,11:49:34,2338805.35,114399.49,13.18,-13.36
Carolina Beach,CB_01,Topo,20190604,11:49:36,2338807.94,114397.51,14.91,-10.37
Carolina Beach,CB_01,Topo,20190604,11:49:37,2338811.02,114396.17,13.78,-7.05
Carolina Beach,CB_01,Topo,20190604,11:49:38,2338813.7,114395.4,12.2,-4.27
Carolina Beach,CB_01,Topo,20190604,11:49:38,2338816.71,114395.11,10.86,-1.28
Carolina Beach,CB_01,Topo,20190604,11:49:39,2338820.26,114395.7,9.67,2.03
Carolina Beach,CB_01,Topo,20190604,11:49:40,2338823.09,114395.45,9.15,4.83
Carolina Beach,CB_01,Topo,20190604,11:49:40,2338826.01,114394.7,8.82,7.85
Carolina Beach,CB_01,Topo,20190604,11:49:41,2338828.8,114393.8,8.74,10.77
Carolina Beach,CB_01,Topo,20190604,11:49:42,2338831.7,114392.63,8.66,13.87
Carolina Beach,CB_01,Topo,20190604,11:49:42,2338834.65,114391.95,8.61,16.89
Carolina Beach,CB_01,Topo,20190604,11:49:43,2338837.43,114391.18,8.56,19.78
Carolina Beach,CB_01,Topo,20190604,11:49:44,2338840.52,114391.01,8.54,22.82
Carolina Beach,CB_01,Topo,20190604,11:49:44,2338843.49,114390.68,8.47,25.78
Carolina Beach,CB_01,Topo,20190604,11:49:45,2338846.66,114390.48,8.35,28.9
Carolina Beach,CB_01,Topo,20190604,11:49:45,2338849.59,114390.11,8.35,31.84
Carolina Beach,CB_01,Topo,20190604,11:49:46,2338852.47,114389.76,8.35,34.72
Carolina Beach,CB_01,Topo,20190604,11:49:47,2338855.49,114389.63,8.45,37.68
Carolina Beach,CB_01,Topo,20190604,11:49:47,2338858.42,114388.59,8.61,40.77
Carolina Beach,CB_01,Topo,20190604,11:49:48,2338861.16,114386.85,8.92,43.85
Carolina Beach,CB_01,Topo,20190604,11:49:49,2338863.79,114385.39,9.36,46.76
Carolina Beach,CB_01,Topo,20190604,11:49:50,2338866.73,114384.02,10.72,49.94
Carolina Beach,CB_01,Topo,20190604,11:49:51,2338869.72,114383.35,11.87,53
Carolina Beach,CB_01,Topo,20190604,11:49:52,2338872.54,114383.01,12.18,55.82
