Location,Profile,Date,Time_UTC,Method,X,Y,Z_NAVD88,DBL
Carolina Beach,CB_01,20180313,20:38:04,Topo,2338770.62,114408.21,9.25,-49.17
Carolina Beach,CB_01,20180313,20:38:05,Topo,2338773.44,114407,9.12,-46.14
Carolina Beach,CB_01,20180313,20:38:06,Topo,2338776.33,114406.45,9.03,-43.2
Carolina Beach,CB_01,20180313,20:38:07,Topo,2338779.4,114406,8.97,-40.11
Carolina Beach,CB_01,20180313,20:38:07,Topo,2338782.35,114405.5,8.99,-37.13
Carolina Beach,CB_01,20180313,20:38:08,Topo,2338785.38,114404.88,8.99,-34.04
Carolina Beach,CB_01,20180313,20:38:09,Topo,2338788.19,114404.4,9.08,-31.2
Carolina Beach,CB_01,20180313,20:38:10,Topo,2338790.87,114403.38,9.32,-28.35
Carolina Beach,CB_01,20180313,20:38:11,Topo,2338793.79,114403,9.58,-25.42
Carolina Beach,CB_01,20180313,20:38:12,Topo,2338796.68,114402.21,10.08,-22.43
Carolina Beach,CB_01,20180313,20:38:13,Topo,2338799.61,114401.09,10.6,-19.32
Carolina Beach,CB_01,20180313,20:38:15,Topo,2338802.53,114400.8,11.5,-16.41
Carolina Beach,CB_01,20180313,20:38:18,Topo,2338805.25,114399.12,13.32,-13.37
Carolina Beach,CB_01,20180313,20:38:20,Topo,2338808.23,114398.76,15.39,-10.39
Carolina Beach,CB_01,20180313,20:38:23,Topo,2338810.96,114397.23,14.1,-7.37
Carolina Beach,CB_01,20180313,20:38:24,Topo,2338813.76,114395.87,12.33,-4.32
Carolina Beach,CB_01,20180313,20:38:26,Topo,2338816.8,114395.37,11.03,-1.25
Carolina Beach,CB_01,20180313,20:38:27,Topo,2338820.03,114396.06,10.26,1.71
Carolina Beach,CB_01,20180313,20:38:27,Topo,2338822.86,114395.37,9.67,4.63
Carolina Beach,CB_01,20180313,20:38:28,Topo,2338826.02,114394.52,9.18,7.9
Carolina Beach,CB_01,20180313,20:38:29,Topo,2338828.76,114393.45,9.12,10.82
Carolina Beach,CB_01,20180313,20:38:30,Topo,2338831.64,114392.47,8.98,13.85
Carolina Beach,CB_01,20180313,20:38:31,Topo,2338834.22,114391.39,8.92,16.61
Carolina Beach,CB_01,20180313,20:38:31,Topo,2338837.25,114390.06,8.85,19.87
Carolina Beach,CB_01,20180313,20:38:32,Topo,2338839.91,114389.16,8.78,22.67
Carolina Beach,CB_01,20180313,20:38:33,Topo,2338842.75,114388.49,8.73,25.59
Carolina Beach,CB_01,20180313,20:38:33,Topo,2338845.69,114387.82,8.72,28.61
Carolina Beach,CB_01,20180313,20:38:34,Topo,2338848.93,114387.61,8.64,31.8
Carolina Beach,CB_01,20180313,20:38:35,Topo,2338851.97,114387.21,8.72,34.85
Carolina Beach,CB_01,20180313,20:38:36,Topo,2338854.89,114386.43,8.87,37.87
Carolina Beach,CB_01,20180313,20:38:36,Topo,2338857.58,114385.84,9.11,40.62
Carolina Beach,CB_01,20180313,20:38:38,Topo,2338860.72,114385.32,9.44,43.79
Carolina Beach,CB_01,20180313,20:38:39,Topo,2338863.74,114385.11,10.01,46.78
Carolina Beach,CB_01,20180313,20:38:40,Topo,2338866.41,114384.3,11.29,49.56
Carolina Beach,CB_01,20180313,20:38:42,Topo,2338869.26,114383.26,11.97,52.58
Carolina Beach,CB_01,20180313,20:38:43,Topo,2338872.19,114381.78,11.26,55.78
Carolina Beach,CB_01,20180313,20:38:44,Topo,2338874.84,114380.51,10.71,58.66
Carolina Beach,CB_01,20180313,20:38:45,Topo,2338877.89,114380.1,10.29,61.72
Carolina Beach,CB_01,20180313,20:38:46,Topo,2338880.62,114379.25,9.75,64.57
Carolina Beach,CB_01,20180313,20:38:47,Topo,2338884.04,114378.98,9.43,67.96
Carolina Beach,CB_01,20180313,20:38:48,Topo,2338886.7,114378.45,9.19,70.66
Carolina Beach,CB_01,20180313,20:38:48,Topo,2338889.76,114377.57,9.02,73.85
Carolina Beach,CB_01,20180313,20:38:49,Topo,2338892.64,114377.55,9.08,76.65
Carolina Beach,CB_01,20180313,20:38:50,Topo,2338895.64,114377.45,9.23,79.58
Carolina Beach,CB_01,20180313,20:38:51,Topo,2338898.88,114377.03,9.54,82.83
Carolina Beach,CB_01,20180313,20:38:52,Topo,2338901.58,114376.14,9.83,85.66
Carolina Beach,CB_01,20180313,20:38:53,Topo,2338904.5,114375.46,9.88,88.66
Carolina Beach,CB_01,20180313,20:38:54,Topo,2338907.62,114374.82,9.63,91.84
Carolina Beach,CB_01,20180313,20:38:54,Topo,2338910.46,114373.86,9.38,94.83
Carolina Beach,CB_01,20180313,20:38:55,Topo,2338913.21,114372.99,9.21,97.71
Carolina Beach,CB_01,20180313,20:38:56,Topo,2338916.2,114372.21,9.2,100.8
Carolina Beach,CB_01,20180313,20:38:57,Topo,2338919.19,114371.63,8.99,103.84
Carolina Beach,CB_01,20180313,20:38:58,Topo,2338922.02,114370.85,8.86,106.77
Carolina Beach,CB_01,20180313,20:38:59,Topo,2338924.84,114370.38,8.65,109.62
Carolina Beach,CB_01,20180313,20:38:59,Topo,2338927.72,114369.78,8.64,112.56
Carolina Beach,CB_01,20180313,20:39:00,Topo,2338930.87,114369.13,8.8,115.78
