Location,Profile,Date,Time_UTC,Method,X,Y,Z_NAVD88,DBL
Carolina Beach,CB_01,20170508,19:56:12.12,Topo,2338770.48,114409.63,9.25,-49.65
Carolina Beach,CB_01,20170508,19:56:12.12,Topo,2338773.11,114407.92,9.22,-46.68
Carolina Beach,CB_01,20170508,19:56:13.13,Topo,2338775.99,114406.84,9.03,-43.62
Carolina Beach,CB_01,20170508,19:56:14.14,Topo,2338778.96,114405.99,8.97,-40.54
Carolina Beach,CB_01,20170508,19:56:14.14,Topo,2338781.75,114405.38,8.98,-37.68
Carolina Beach,CB_01,20170508,19:56:15.15,Topo,2338784.59,114404.90,9.01,-34.81
Carolina Beach,CB_01,20170508,19:56:16.16,Topo,2338787.67,114404.23,9.06,-31.66
Carolina Beach,CB_01,20170508,19:56:16.16,Topo,2338790.73,114403.87,9.22,-28.6
Carolina Beach,CB_01,20170508,19:56:17.17,Topo,2338793.48,114403.16,9.45,-25.76
Carolina Beach,CB_01,20170508,19:56:18.18,Topo,2338796.37,114402.74,9.96,-22.86
Carolina Beach,CB_01,20170508,19:56:19.19,Topo,2338799.18,114401.68,10.44,-19.88
Carolina Beach,CB_01,20170508,19:56:19.19,Topo,2338802.08,114400.73,11.14,-16.83
Carolina Beach,CB_01,20170508,19:56:21.21,Topo,2338804.98,114399.64,12.63,-13.75
Carolina Beach,CB_01,20170508,19:56:23.23,Topo,2338807.35,114397.23,14.88,-10.87
Carolina Beach,CB_01,20170508,19:56:24.24,Topo,2338810.09,114396.02,14.42,-7.92
Carolina Beach,CB_01,20170508,19:56:25.25,Topo,2338812.88,114394.82,12.82,-4.92
Carolina Beach,CB_01,20170508,19:56:25.25,Topo,2338816.42,114393.43,10.91,-1.15
Carolina Beach,CB_01,20170508,19:56:26.26,Topo,2338819.01,114392.88,9.97,1.49
Carolina Beach,CB_01,20170508,19:56:27.27,Topo,2338821.67,114392.20,9.30,4.24
Carolina Beach,CB_01,20170508,19:56:27.27,Topo,2338824.68,114391.65,8.94,7.29
Carolina Beach,CB_01,20170508,19:56:28.28,Topo,2338827.40,114390.81,8.79,10.14
Carolina Beach,CB_01,20170508,19:56:29.29,Topo,2338830.37,114390.13,8.70,13.18
Carolina Beach,CB_01,20170508,19:56:29.29,Topo,2338833.40,114389.73,8.63,16.22
Carolina Beach,CB_01,20170508,19:56:30.30,Topo,2338836.53,114389.14,8.54,19.4
Carolina Beach,CB_01,20170508,19:56:31.31,Topo,2338839.50,114388.83,8.51,22.36
Carolina Beach,CB_01,20170508,19:56:31.31,Topo,2338842.29,114388.31,8.47,25.19
Carolina Beach,CB_01,20170508,19:56:32.32,Topo,2338845.63,114387.97,8.43,28.51
Carolina Beach,CB_01,20170508,19:56:33.33,Topo,2338848.38,114387.45,8.39,31.31
Carolina Beach,CB_01,20170508,19:56:33.33,Topo,2338851.16,114386.65,8.36,34.2
Carolina Beach,CB_01,20170508,19:56:34.34,Topo,2338854.52,114386.12,8.38,37.58
Carolina Beach,CB_01,20170508,19:56:34.34,Topo,2338857.37,114385.20,8.45,40.57
Carolina Beach,CB_01,20170508,19:56:35.35,Topo,2338859.93,114384.73,8.68,43.17
Carolina Beach,CB_01,20170508,19:56:36.36,Topo,2338862.91,114383.48,9.52,46.36
Carolina Beach,CB_01,20170508,19:56:37.37,Topo,2338865.50,114382.53,10.67,49.11
