%
% BHI-E (33.868400 N -77.939600 E)
% The BHI-E buoy is a Sofar Spotter wave buoy located approximately one-half mile off the east side of Bald Head Island, anchored in 24 ft of water. The buoy provides wave height, wave direction and wave period data, as well as sea surface temperature. The buoy transmits data once an hour. This station is not a permanent station and is being used to evaluate new technologies in ocean wave measurement. This buoy is supported through a partnership between CORMP, the UNCW Center for Marine Science and the Departments of Earth and Ocean Sciences and Physics and Physical Oceanography. Funding was provided by the UNCW College of Arts and Sciences. Please use caution when boating in the vicinity of the buoy.
%
% BHI-E Peak wave period (s) @ 0 m (depth)
%
Time (America/New_York),BHI-E Peak wave period (s),BHI-E Peak wave period (s) quality
2021-09-22 00:09,7.30,not evaluated
2021-09-22 00:39,6.82,not evaluated
2021-09-22 01:09,7.30,not evaluated
2021-09-22 01:39,7.30,not evaluated
2021-09-22 02:09,6.02,not evaluated
2021-09-22 02:39,7.30,not evaluated
2021-09-22 03:09,6.82,not evaluated
2021-09-22 03:39,6.82,not evaluated
2021-09-22 04:09,6.40,not evaluated
2021-09-22 04:39,6.82,not evaluated
2021-09-22 05:09,6.40,not evaluated
2021-09-22 05:39,6.40,not evaluated
2021-09-22 06:09,6.40,not evaluated
2021-09-22 06:39,6.40,not evaluated
2021-09-22 07:09,6.82,not evaluated
2021-09-22 07:39,6.82,not evaluated
2021-09-22 08:09,5.38,not evaluated
2021-09-22 08:39,6.40,not evaluated
2021-09-22 09:09,6.82,not evaluated
2021-09-22 09:39,6.02,not evaluated
2021-09-22 10:09,6.82,not evaluated
2021-09-22 10:39,25.60,not evaluated
2021-09-22 11:09,6.40,not evaluated
2021-09-22 11:39,6.02,not evaluated
2021-09-22 12:09,5.68,not evaluated
2021-09-22 12:39,6.02,not evaluated
2021-09-22 13:09,6.40,not evaluated
2021-09-22 13:39,6.40,not evaluated
2021-09-22 14:09,6.82,not evaluated
2021-09-22 14:39,6.40,not evaluated
2021-09-22 15:09,6.40,not evaluated
2021-09-22 15:39,6.82,not evaluated
2021-09-22 16:09,6.40,not evaluated
2021-09-22 16:39,6.82,not evaluated
2021-09-22 17:09,6.82,not evaluated
2021-09-22 17:39,6.82,not evaluated
2021-09-22 18:09,6.40,not evaluated
2021-09-22 18:39,6.82,not evaluated
2021-09-22 19:09,6.40,not evaluated
2021-09-22 19:39,6.82,not evaluated
2021-09-22 20:09,7.30,not evaluated
2021-09-22 20:39,6.82,not evaluated
2021-09-22 21:09,7.30,not evaluated
2021-09-22 21:39,7.30,not evaluated
2021-09-22 22:09,7.30,not evaluated
2021-09-22 22:39,7.30,not evaluated
2021-09-22 23:09,7.30,not evaluated
2021-09-22 23:39,6.82,not evaluated
2021-09-23 00:09,6.82,not evaluated
2021-09-23 00:39,6.82,not evaluated
2021-09-23 01:09,6.82,not evaluated
2021-09-23 01:39,6.82,not evaluated
2021-09-23 02:09,6.82,not evaluated
2021-09-23 02:39,6.82,not evaluated
2021-09-23 03:09,6.82,not evaluated
2021-09-23 03:39,6.82,not evaluated
2021-09-23 04:09,11.36,not evaluated
2021-09-23 04:39,11.36,not evaluated
2021-09-23 05:09,6.40,not evaluated
2021-09-23 05:39,11.36,not evaluated
2021-09-23 06:09,11.36,not evaluated
2021-09-23 06:39,11.36,not evaluated
2021-09-23 07:09,6.82,not evaluated
2021-09-23 07:39,11.36,not evaluated
2021-09-23 08:09,11.36,not evaluated
2021-09-23 08:39,5.68,not evaluated
2021-09-23 09:09,11.36,not evaluated
2021-09-23 09:39,11.36,not evaluated
2021-09-23 10:09,11.36,not evaluated
2021-09-23 10:39,11.36,not evaluated
2021-09-23 11:09,11.36,not evaluated
2021-09-23 11:39,11.36,not evaluated
2021-09-23 12:09,6.82,not evaluated
2021-09-23 12:39,7.86,not evaluated
2021-09-23 13:09,11.36,not evaluated
2021-09-23 13:39,11.36,not evaluated
2021-09-23 14:09,11.36,not evaluated
2021-09-23 14:39,10.24,not evaluated
2021-09-23 15:09,7.30,not evaluated
2021-09-23 15:39,7.86,not evaluated
2021-09-23 16:09,10.24,not evaluated
2021-09-23 16:39,10.24,not evaluated
2021-09-23 17:09,10.24,not evaluated
2021-09-23 17:39,10.24,not evaluated
2021-09-23 18:09,10.24,not evaluated
2021-09-23 18:39,10.24,not evaluated
2021-09-23 19:09,10.24,not evaluated
2021-09-23 19:39,10.24,not evaluated
2021-09-23 20:09,10.24,not evaluated
2021-09-23 20:39,10.24,not evaluated
2021-09-23 21:09,10.24,not evaluated
2021-09-23 21:39,10.24,not evaluated
2021-09-23 22:09,10.24,not evaluated
2021-09-23 22:39,10.24,not evaluated
2021-09-23 23:09,10.24,not evaluated
2021-09-23 23:39,10.24,not evaluated
2021-09-24 00:09,10.24,not evaluated
2021-09-24 00:39,10.24,not evaluated
2021-09-24 01:09,10.24,not evaluated
2021-09-24 01:39,10.24,not evaluated
2021-09-24 02:09,10.24,not evaluated
2021-09-24 02:39,10.24,not evaluated
2021-09-24 03:09,10.24,not evaluated
2021-09-24 03:39,9.30,not evaluated
2021-09-24 04:09,9.30,not evaluated
2021-09-24 04:39,9.30,not evaluated
2021-09-24 05:09,9.30,not evaluated
2021-09-24 05:39,4.26,not evaluated
2021-09-24 06:09,4.86,not evaluated
2021-09-24 06:39,4.64,not evaluated
2021-09-24 07:09,5.12,not evaluated
2021-09-24 07:39,4.64,not evaluated
2021-09-24 08:09,4.64,not evaluated
2021-09-24 08:39,5.68,not evaluated
2021-09-24 09:09,9.30,not evaluated
2021-09-24 09:39,4.86,not evaluated
2021-09-24 10:09,9.30,not evaluated
2021-09-24 10:39,7.86,not evaluated
2021-09-24 11:09,9.30,not evaluated
2021-09-24 11:39,9.30,not evaluated
2021-09-24 12:09,8.52,not evaluated
2021-09-24 12:39,9.30,not evaluated
2021-09-24 13:09,9.30,not evaluated
2021-09-24 13:39,9.30,not evaluated
2021-09-24 14:09,9.30,not evaluated
2021-09-24 14:39,7.86,not evaluated
2021-09-24 15:09,8.52,not evaluated
2021-09-24 15:39,9.30,not evaluated
2021-09-24 16:09,8.52,not evaluated
2021-09-24 16:39,7.86,not evaluated
2021-09-24 17:09,8.52,not evaluated
2021-09-24 17:39,8.52,not evaluated
2021-09-24 18:09,8.52,not evaluated
2021-09-24 18:39,7.86,not evaluated
2021-09-24 19:09,7.86,not evaluated
2021-09-24 19:39,8.52,not evaluated
2021-09-24 20:09,8.52,not evaluated
2021-09-24 20:39,7.86,not evaluated
2021-09-24 21:09,8.52,not evaluated
2021-09-24 21:39,8.52,not evaluated
2021-09-24 22:09,8.52,not evaluated
2021-09-24 22:39,8.52,not evaluated
2021-09-24 23:09,7.86,not evaluated
2021-09-24 23:39,8.52,not evaluated
2021-09-25 00:09,7.86,not evaluated
2021-09-25 00:39,7.86,not evaluated
2021-09-25 01:09,7.86,not evaluated
2021-09-25 01:39,7.86,not evaluated
2021-09-25 02:09,8.52,not evaluated
2021-09-25 02:39,8.52,not evaluated
2021-09-25 03:09,8.52,not evaluated
2021-09-25 03:39,7.86,not evaluated
2021-09-25 04:09,7.86,not evaluated
2021-09-25 04:39,7.86,not evaluated
2021-09-25 05:09,7.86,not evaluated
2021-09-25 05:39,8.52,not evaluated
2021-09-25 06:09,7.86,not evaluated
2021-09-25 06:39,7.86,not evaluated
2021-09-25 07:09,7.86,not evaluated
2021-09-25 07:39,7.86,not evaluated
2021-09-25 08:09,7.86,not evaluated
2021-09-25 08:39,7.86,not evaluated
2021-09-25 09:09,7.86,not evaluated
2021-09-25 09:39,8.52,not evaluated
2021-09-25 10:09,8.52,not evaluated
2021-09-25 10:39,7.86,not evaluated
2021-09-25 11:09,7.86,not evaluated
2021-09-25 11:39,7.86,not evaluated
2021-09-25 12:09,7.86,not evaluated
2021-09-25 12:39,8.52,not evaluated
2021-09-25 13:09,8.52,not evaluated
2021-09-25 13:39,7.86,not evaluated
2021-09-25 14:09,7.86,not evaluated
2021-09-25 14:39,8.52,not evaluated
2021-09-25 15:09,8.52,not evaluated
2021-09-25 15:39,7.86,not evaluated
2021-09-25 16:09,7.86,not evaluated
2021-09-25 16:39,7.86,not evaluated
2021-09-25 17:09,7.86,not evaluated
2021-09-25 17:39,7.86,not evaluated
2021-09-25 18:09,7.86,not evaluated
2021-09-25 18:39,7.86,not evaluated
2021-09-25 19:09,7.86,not evaluated
2021-09-25 19:39,7.86,not evaluated
2021-09-25 20:09,7.86,not evaluated
2021-09-25 20:39,7.30,not evaluated
2021-09-25 21:09,7.86,not evaluated
2021-09-25 21:39,7.86,not evaluated
2021-09-25 22:09,7.86,not evaluated
2021-09-25 22:39,7.86,not evaluated
2021-09-25 23:09,7.86,not evaluated
2021-09-25 23:39,7.86,not evaluated
2021-09-26 00:09,7.86,not evaluated
2021-09-26 00:39,7.86,not evaluated
2021-09-26 01:09,7.86,not evaluated
2021-09-26 01:39,7.86,not evaluated
2021-09-26 02:09,7.86,not evaluated
2021-09-26 02:39,8.52,not evaluated
2021-09-26 03:09,8.52,not evaluated
2021-09-26 03:39,7.86,not evaluated
2021-09-26 04:09,8.52,not evaluated
2021-09-26 04:39,8.52,not evaluated
2021-09-26 05:09,7.86,not evaluated
2021-09-26 05:39,8.52,not evaluated
2021-09-26 06:09,8.52,not evaluated
2021-09-26 06:39,8.52,not evaluated
2021-09-26 07:09,7.86,not evaluated
2021-09-26 07:39,7.86,not evaluated
2021-09-26 08:09,8.52,not evaluated
2021-09-26 08:39,7.86,not evaluated
2021-09-26 09:09,7.30,not evaluated
2021-09-26 09:39,8.52,not evaluated
2021-09-26 10:09,8.52,not evaluated
2021-09-26 10:39,8.52,not evaluated
2021-09-26 11:09,7.86,not evaluated
2021-09-26 11:39,10.24,not evaluated
2021-09-26 12:09,10.24,not evaluated
2021-09-26 12:39,10.24,not evaluated
2021-09-26 13:09,10.24,not evaluated
2021-09-26 13:39,10.24,not evaluated
2021-09-26 14:09,10.24,not evaluated
2021-09-26 14:39,9.30,not evaluated
2021-09-26 15:09,9.30,not evaluated
2021-09-26 15:39,9.30,not evaluated
2021-09-26 16:09,9.30,not evaluated
2021-09-26 16:39,9.30,not evaluated
2021-09-26 17:09,8.52,not evaluated
2021-09-26 17:39,9.30,not evaluated
2021-09-26 18:09,9.30,not evaluated
2021-09-26 18:39,9.30,not evaluated
2021-09-26 19:09,7.86,not evaluated
2021-09-26 19:39,9.30,not evaluated
2021-09-26 20:09,7.86,not evaluated
2021-09-26 20:39,8.52,not evaluated
2021-09-26 21:09,8.52,not evaluated
2021-09-26 21:39,7.86,not evaluated
2021-09-26 22:09,8.52,not evaluated
2021-09-26 22:39,10.24,not evaluated
2021-09-26 23:09,10.24,not evaluated
2021-09-26 23:39,8.52,not evaluated
2021-09-27 00:09,9.30,not evaluated
2021-09-27 00:39,10.24,not evaluated
2021-09-27 01:09,10.24,not evaluated
2021-09-27 01:39,11.36,not evaluated
2021-09-27 02:09,9.30,not evaluated
2021-09-27 02:39,10.24,not evaluated
2021-09-27 03:09,11.36,not evaluated
2021-09-27 03:39,9.30,not evaluated
2021-09-27 04:09,10.24,not evaluated
2021-09-27 04:39,9.30,not evaluated
2021-09-27 05:09,10.24,not evaluated
2021-09-27 05:39,9.30,not evaluated
2021-09-27 06:09,10.24,not evaluated
2021-09-27 06:39,10.24,not evaluated
2021-09-27 07:09,11.36,not evaluated
2021-09-27 07:39,10.24,not evaluated
2021-09-27 08:09,10.24,not evaluated
2021-09-27 08:39,10.24,not evaluated
2021-09-27 09:09,10.24,not evaluated
2021-09-27 09:39,10.24,not evaluated
2021-09-27 10:09,10.24,not evaluated
2021-09-27 10:39,10.24,not evaluated
2021-09-27 11:09,11.36,not evaluated
2021-09-27 11:39,10.24,not evaluated
2021-09-27 12:09,10.24,not evaluated
2021-09-27 12:39,10.24,not evaluated
2021-09-27 13:09,10.24,not evaluated
2021-09-27 13:39,9.30,not evaluated
2021-09-27 14:09,10.24,not evaluated
2021-09-27 14:39,10.24,not evaluated
2021-09-27 15:09,9.30,not evaluated
2021-09-27 15:39,10.24,not evaluated
2021-09-27 16:09,10.24,not evaluated
2021-09-27 16:39,10.24,not evaluated
2021-09-27 17:09,10.24,not evaluated
2021-09-27 17:39,10.24,not evaluated
2021-09-27 18:09,10.24,not evaluated
2021-09-27 18:39,10.24,not evaluated
2021-09-27 19:09,10.24,not evaluated
2021-09-27 19:39,10.24,not evaluated
2021-09-27 20:09,10.24,not evaluated
2021-09-27 20:39,10.24,not evaluated
2021-09-27 21:09,10.24,not evaluated
2021-09-27 21:39,10.24,not evaluated
2021-09-27 22:09,10.24,not evaluated
2021-09-27 22:39,10.24,not evaluated
2021-09-27 23:09,9.30,not evaluated
2021-09-27 23:39,10.24,not evaluated
2021-09-28 00:09,10.24,not evaluated
2021-09-28 00:39,10.24,not evaluated
2021-09-28 01:09,10.24,not evaluated
2021-09-28 01:39,10.24,not evaluated
2021-09-28 02:09,9.30,not evaluated
2021-09-28 02:39,10.24,not evaluated
2021-09-28 03:09,10.24,not evaluated
2021-09-28 03:39,10.24,not evaluated
2021-09-28 04:09,10.24,not evaluated
2021-09-28 04:39,10.24,not evaluated
2021-09-28 05:09,9.30,not evaluated
2021-09-28 05:39,9.30,not evaluated
2021-09-28 06:09,9.30,not evaluated
2021-09-28 06:39,10.24,not evaluated
2021-09-28 07:09,9.30,not evaluated
2021-09-28 07:39,9.30,not evaluated
2021-09-28 08:09,9.30,not evaluated
2021-09-28 08:39,9.30,not evaluated
2021-09-28 09:09,9.30,not evaluated
2021-09-28 09:39,9.30,not evaluated
2021-09-28 10:09,9.30,not evaluated
2021-09-28 10:39,9.30,not evaluated
2021-09-28 11:09,9.30,not evaluated
2021-09-28 11:39,9.30,not evaluated
2021-09-28 12:09,9.30,not evaluated
2021-09-28 12:39,9.30,not evaluated
2021-09-28 13:09,9.30,not evaluated
2021-09-28 13:39,9.30,not evaluated
2021-09-28 14:09,9.30,not evaluated
2021-09-28 14:39,9.30,not evaluated
2021-09-28 15:09,9.30,not evaluated
2021-09-28 15:39,9.30,not evaluated
2021-09-28 16:09,9.30,not evaluated
2021-09-28 16:39,9.30,not evaluated
2021-09-28 17:09,9.30,not evaluated
2021-09-28 17:39,9.30,not evaluated
2021-09-28 18:09,9.30,not evaluated
2021-09-28 18:39,8.52,not evaluated
2021-09-28 19:09,9.30,not evaluated
2021-09-28 19:39,9.30,not evaluated
2021-09-28 20:09,9.30,not evaluated
2021-09-28 20:39,9.30,not evaluated
2021-09-28 21:09,9.30,not evaluated
2021-09-28 21:39,8.52,not evaluated
2021-09-28 22:09,8.52,not evaluated
2021-09-28 22:39,8.52,not evaluated
2021-09-28 23:09,9.30,not evaluated
2021-09-28 23:39,9.30,not evaluated
2021-09-29 00:09,9.30,not evaluated
2021-09-29 00:39,8.52,not evaluated
2021-09-29 01:09,8.52,not evaluated
2021-09-29 01:39,9.30,not evaluated
2021-09-29 02:09,9.30,not evaluated
2021-09-29 02:39,9.30,not evaluated
2021-09-29 03:09,9.30,not evaluated
2021-09-29 03:39,9.30,not evaluated
2021-09-29 04:09,9.30,not evaluated
2021-09-29 04:39,8.52,not evaluated
2021-09-29 05:09,9.30,not evaluated
2021-09-29 05:39,9.30,not evaluated
2021-09-29 06:09,9.30,not evaluated
2021-09-29 06:39,9.30,not evaluated
2021-09-29 07:09,9.30,not evaluated
2021-09-29 07:39,9.30,not evaluated
2021-09-29 08:09,8.52,not evaluated
2021-09-29 08:39,12.80,not evaluated
2021-09-29 09:09,8.52,not evaluated
2021-09-29 09:39,8.52,not evaluated
2021-09-29 10:09,8.52,not evaluated
2021-09-29 10:39,12.80,not evaluated
2021-09-29 11:09,12.80,not evaluated
2021-09-29 11:39,12.80,not evaluated
2021-09-29 12:09,12.80,not evaluated
2021-09-29 12:39,12.80,not evaluated
2021-09-29 13:09,12.80,not evaluated
2021-09-29 13:39,12.80,not evaluated
2021-09-29 14:09,12.80,not evaluated
2021-09-29 14:39,12.80,not evaluated
2021-09-29 15:09,12.80,not evaluated
2021-09-29 15:39,12.80,not evaluated
2021-09-29 16:09,12.80,not evaluated
2021-09-29 16:39,12.80,not evaluated
2021-09-29 17:09,12.80,not evaluated
2021-09-29 17:39,12.80,not evaluated
2021-09-29 18:09,12.80,not evaluated
2021-09-29 18:39,12.80,not evaluated
2021-09-29 19:09,12.80,not evaluated
2021-09-29 19:39,12.80,not evaluated
2021-09-29 20:09,11.36,not evaluated
2021-09-29 20:39,12.80,not evaluated
2021-09-29 21:09,12.80,not evaluated
2021-09-29 21:39,12.80,not evaluated
2021-09-29 22:09,12.80,not evaluated
2021-09-29 22:39,12.80,not evaluated
2021-09-29 23:09,11.36,not evaluated
2021-09-29 23:39,12.80,not evaluated
2021-09-30 00:09,12.80,not evaluated
2021-09-30 00:39,12.80,not evaluated
2021-09-30 01:09,12.80,not evaluated
2021-09-30 01:39,12.80,not evaluated
2021-09-30 02:09,11.36,not evaluated
2021-09-30 02:39,12.80,not evaluated
2021-09-30 03:09,4.44,not evaluated
2021-09-30 03:39,11.36,not evaluated
2021-09-30 04:09,4.44,not evaluated
2021-09-30 04:39,4.86,not evaluated
2021-09-30 05:09,4.64,not evaluated
2021-09-30 05:39,12.80,not evaluated
2021-09-30 06:09,4.64,not evaluated
2021-09-30 06:39,11.36,not evaluated
2021-09-30 07:09,11.36,not evaluated
2021-09-30 07:39,11.36,not evaluated
2021-09-30 08:09,11.36,not evaluated
2021-09-30 08:39,11.36,not evaluated
2021-09-30 09:09,11.36,not evaluated
2021-09-30 09:39,4.26,not evaluated
2021-09-30 10:09,11.36,not evaluated
2021-09-30 10:39,11.36,not evaluated
2021-09-30 11:09,4.64,not evaluated
2021-09-30 11:39,11.36,not evaluated
2021-09-30 12:09,4.64,not evaluated
2021-09-30 12:39,4.86,not evaluated
2021-09-30 13:09,4.64,not evaluated
2021-09-30 13:39,4.44,not evaluated
2021-09-30 14:09,4.86,not evaluated
2021-09-30 14:39,11.36,not evaluated
2021-09-30 15:09,11.36,not evaluated
2021-09-30 15:39,11.36,not evaluated
2021-09-30 16:09,4.44,not evaluated
2021-09-30 16:39,11.36,not evaluated
2021-09-30 17:09,11.36,not evaluated
2021-09-30 17:39,11.36,not evaluated
2021-09-30 18:09,11.36,not evaluated
2021-09-30 18:39,11.36,not evaluated
2021-09-30 19:09,10.24,not evaluated
2021-09-30 19:39,11.36,not evaluated
2021-09-30 20:09,11.36,not evaluated
2021-09-30 20:39,11.36,not evaluated
2021-09-30 21:09,11.36,not evaluated
2021-09-30 21:39,11.36,not evaluated
2021-09-30 22:09,12.80,not evaluated
2021-09-30 22:39,12.80,not evaluated
2021-09-30 23:09,11.36,not evaluated
2021-09-30 23:39,12.80,not evaluated
2021-10-01 00:09,11.36,not evaluated
2021-10-01 00:39,12.80,not evaluated
2021-10-01 01:09,11.36,not evaluated
2021-10-01 01:39,12.80,not evaluated
2021-10-01 02:09,11.36,not evaluated
2021-10-01 02:39,12.80,not evaluated
2021-10-01 03:09,11.36,not evaluated
2021-10-01 03:39,12.80,not evaluated
2021-10-01 04:09,12.80,not evaluated
2021-10-01 04:39,12.80,not evaluated
2021-10-01 05:09,12.80,not evaluated
2021-10-01 05:39,11.36,not evaluated
2021-10-01 06:09,11.36,not evaluated
2021-10-01 06:39,11.36,not evaluated
2021-10-01 07:09,11.36,not evaluated
2021-10-01 07:39,11.36,not evaluated
2021-10-01 08:09,11.36,not evaluated
2021-10-01 08:39,11.36,not evaluated
2021-10-01 09:09,11.36,not evaluated
2021-10-01 09:39,11.36,not evaluated
2021-10-01 10:09,11.36,not evaluated
2021-10-01 10:39,12.80,not evaluated
2021-10-01 11:09,11.36,not evaluated
2021-10-01 11:39,11.36,not evaluated
2021-10-01 12:09,11.36,not evaluated
2021-10-01 12:39,11.36,not evaluated
2021-10-01 13:09,12.80,not evaluated
2021-10-01 13:39,11.36,not evaluated
2021-10-01 14:09,11.36,not evaluated
2021-10-01 14:39,12.80,not evaluated
2021-10-01 15:09,14.62,not evaluated
2021-10-01 15:39,11.36,not evaluated
2021-10-01 16:09,10.24,not evaluated
2021-10-01 16:39,12.80,not evaluated
2021-10-01 17:09,4.08,not evaluated
2021-10-01 17:39,4.26,not evaluated
2021-10-01 18:09,12.80,not evaluated
2021-10-01 18:39,4.26,not evaluated
2021-10-01 19:09,12.80,not evaluated
2021-10-01 19:39,12.80,not evaluated
2021-10-01 20:09,12.80,not evaluated
2021-10-01 20:39,12.80,not evaluated
2021-10-01 21:09,12.80,not evaluated
2021-10-01 21:39,12.80,not evaluated
2021-10-01 22:09,12.80,not evaluated
2021-10-01 22:39,12.80,not evaluated
2021-10-01 23:09,14.62,not evaluated
2021-10-01 23:39,12.80,not evaluated
2021-10-02 00:09,12.80,not evaluated
2021-10-02 00:39,12.80,not evaluated
2021-10-02 01:09,12.80,not evaluated
2021-10-02 01:39,12.80,not evaluated
2021-10-02 02:09,14.62,not evaluated
2021-10-02 02:39,12.80,not evaluated
2021-10-02 03:09,12.80,not evaluated
2021-10-02 03:39,14.62,not evaluated
2021-10-02 04:09,12.80,not evaluated
2021-10-02 04:39,14.62,not evaluated
2021-10-02 05:09,14.62,not evaluated
2021-10-02 05:39,14.62,not evaluated
2021-10-02 06:09,14.62,not evaluated
2021-10-02 06:39,14.62,not evaluated
2021-10-02 07:09,14.62,not evaluated
2021-10-02 07:39,14.62,not evaluated
2021-10-02 08:09,14.62,not evaluated
2021-10-02 08:39,14.62,not evaluated
2021-10-02 09:09,14.62,not evaluated
2021-10-02 09:39,14.62,not evaluated
2021-10-02 10:09,14.62,not evaluated
2021-10-02 10:39,14.62,not evaluated
2021-10-02 11:09,14.62,not evaluated
2021-10-02 11:39,14.62,not evaluated
2021-10-02 12:09,14.62,not evaluated
2021-10-02 12:39,14.62,not evaluated
2021-10-02 13:09,14.62,not evaluated
2021-10-02 13:39,14.62,not evaluated
2021-10-02 14:09,17.06,not evaluated
2021-10-02 14:39,14.62,not evaluated
2021-10-02 15:09,14.62,not evaluated
2021-10-02 15:39,14.62,not evaluated
2021-10-02 16:09,14.62,not evaluated
2021-10-02 16:39,14.62,not evaluated
2021-10-02 17:09,14.62,not evaluated
2021-10-02 17:39,14.62,not evaluated
2021-10-02 18:09,14.62,not evaluated
2021-10-02 18:39,14.62,not evaluated
2021-10-02 19:09,14.62,not evaluated
2021-10-02 19:39,14.62,not evaluated
2021-10-02 20:09,17.06,not evaluated
2021-10-02 20:39,14.62,not evaluated
2021-10-02 21:09,14.62,not evaluated
2021-10-02 21:39,14.62,not evaluated
2021-10-02 22:09,14.62,not evaluated
2021-10-02 22:39,14.62,not evaluated
2021-10-02 23:09,14.62,not evaluated
2021-10-02 23:39,12.80,not evaluated
2021-10-03 00:09,14.62,not evaluated
2021-10-03 00:39,14.62,not evaluated
2021-10-03 01:09,14.62,not evaluated
2021-10-03 01:39,14.62,not evaluated
2021-10-03 02:09,12.80,not evaluated
2021-10-03 02:39,12.80,not evaluated
2021-10-03 03:09,12.80,not evaluated
2021-10-03 03:39,12.80,not evaluated
2021-10-03 04:09,12.80,not evaluated
2021-10-03 04:39,14.62,not evaluated
2021-10-03 05:09,12.80,not evaluated
2021-10-03 05:39,12.80,not evaluated
2021-10-03 06:09,12.80,not evaluated
2021-10-03 06:39,12.80,not evaluated
2021-10-03 07:09,12.80,not evaluated
2021-10-03 07:39,12.80,not evaluated
2021-10-03 08:09,11.36,not evaluated
2021-10-03 08:39,12.80,not evaluated
2021-10-03 09:09,12.80,not evaluated
2021-10-03 09:39,12.80,not evaluated
2021-10-03 10:09,12.80,not evaluated
2021-10-03 10:39,12.80,not evaluated
2021-10-03 11:09,12.80,not evaluated
2021-10-03 11:39,12.80,not evaluated
2021-10-03 12:09,11.36,not evaluated
2021-10-03 12:39,11.36,not evaluated
2021-10-03 13:09,12.80,not evaluated
2021-10-03 13:39,11.36,not evaluated
2021-10-03 14:09,11.36,not evaluated
2021-10-03 14:39,12.80,not evaluated
2021-10-03 15:09,11.36,not evaluated
2021-10-03 15:39,11.36,not evaluated
2021-10-03 16:09,12.80,not evaluated
2021-10-03 16:39,11.36,not evaluated
2021-10-03 17:09,11.36,not evaluated
2021-10-03 17:39,11.36,not evaluated
2021-10-03 18:09,12.80,not evaluated
2021-10-03 18:39,11.36,not evaluated
2021-10-03 19:09,11.36,not evaluated
2021-10-03 19:39,11.36,not evaluated
2021-10-03 20:09,9.30,not evaluated
2021-10-03 20:39,11.36,not evaluated
2021-10-03 21:09,11.36,not evaluated
2021-10-03 21:39,11.36,not evaluated
2021-10-03 22:09,11.36,not evaluated
2021-10-03 22:39,11.36,not evaluated
2021-10-03 23:09,11.36,not evaluated
2021-10-03 23:39,10.24,not evaluated
2021-10-04 00:09,11.36,not evaluated
2021-10-04 00:39,11.36,not evaluated
2021-10-04 01:09,10.24,not evaluated
2021-10-04 01:39,10.24,not evaluated
2021-10-04 02:09,10.24,not evaluated
2021-10-04 02:39,10.24,not evaluated
2021-10-04 03:09,10.24,not evaluated
2021-10-04 03:39,10.24,not evaluated
2021-10-04 04:09,10.24,not evaluated
2021-10-04 04:39,10.24,not evaluated
2021-10-04 05:09,10.24,not evaluated
2021-10-04 05:39,10.24,not evaluated
2021-10-04 06:09,11.36,not evaluated
2021-10-04 06:39,11.36,not evaluated
2021-10-04 07:09,11.36,not evaluated
2021-10-04 07:39,11.36,not evaluated
2021-10-04 08:09,11.36,not evaluated
2021-10-04 08:39,11.36,not evaluated
2021-10-04 09:09,11.36,not evaluated
2021-10-04 09:39,11.36,not evaluated
2021-10-04 10:09,11.36,not evaluated
2021-10-04 10:39,10.24,not evaluated
2021-10-04 11:09,10.24,not evaluated
2021-10-04 11:39,10.24,not evaluated
2021-10-04 12:09,10.24,not evaluated
2021-10-04 12:39,10.24,not evaluated
2021-10-04 13:09,10.24,not evaluated
2021-10-04 13:39,10.24,not evaluated
2021-10-04 14:09,10.24,not evaluated
2021-10-04 14:39,9.30,not evaluated
2021-10-04 15:09,10.24,not evaluated
2021-10-04 15:39,10.24,not evaluated
2021-10-04 16:09,9.30,not evaluated
2021-10-04 16:39,9.30,not evaluated
2021-10-04 17:09,10.24,not evaluated
2021-10-04 17:39,9.30,not evaluated
2021-10-04 18:09,9.30,not evaluated
2021-10-04 18:39,9.30,not evaluated
2021-10-04 19:09,9.30,not evaluated
2021-10-04 19:39,9.30,not evaluated
2021-10-04 20:09,9.30,not evaluated
2021-10-04 20:39,10.24,not evaluated
2021-10-04 21:09,9.30,not evaluated
2021-10-04 21:39,9.30,not evaluated
2021-10-04 22:09,9.30,not evaluated
2021-10-04 22:39,9.30,not evaluated
2021-10-04 23:09,9.30,not evaluated
2021-10-04 23:39,10.24,not evaluated
2021-10-05 00:09,10.24,not evaluated
2021-10-05 00:39,10.24,not evaluated
2021-10-05 01:09,10.24,not evaluated
2021-10-05 01:39,8.52,not evaluated
2021-10-05 02:09,10.24,not evaluated
2021-10-05 02:39,11.36,not evaluated
2021-10-05 03:09,10.24,not evaluated
2021-10-05 03:39,8.52,not evaluated
2021-10-05 04:09,10.24,not evaluated
2021-10-05 04:39,10.24,not evaluated
2021-10-05 05:09,9.30,not evaluated
2021-10-05 05:39,10.24,not evaluated
2021-10-05 06:09,10.24,not evaluated
2021-10-05 06:39,10.24,not evaluated
2021-10-05 07:09,10.24,not evaluated
2021-10-05 07:39,10.24,not evaluated
2021-10-05 08:09,10.24,not evaluated
2021-10-05 08:39,10.24,not evaluated
2021-10-05 09:09,10.24,not evaluated
2021-10-05 09:39,9.30,not evaluated
2021-10-05 10:09,9.30,not evaluated
2021-10-05 10:39,11.36,not evaluated
2021-10-05 11:09,8.52,not evaluated
2021-10-05 11:39,7.86,not evaluated
2021-10-05 12:09,8.52,not evaluated
2021-10-05 12:39,8.52,not evaluated
